Path,Sample.Name,Phenotype,Cell.ID,Total.Cells,Cell.X.Position,Cell.Y.Position,CD8,FoxP3,PD.L1,CD4,Treg,APC,Epithelial,Tcell,CellType,Group,Patient
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,47,0,312,22,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,45,0,81,21,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,55,0,93,25,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,61,0,82,28,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,251,0,1155,92,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,177,0,1152,70,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,192,0,1123,73,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,196,0,1115,75,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,222,0,1133,82,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,234,0,1110,88,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,255,0,1126,92,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,260,0,1114,92,pos,neg,neg,neg,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,167,0,1070,66,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,211,0,1075,79,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,226,0,1061,85,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,321,0,1178,116,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,349,0,1182,126,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,352,0,1157,123,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,355,0,1168,129,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,366,0,1178,129,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,372,0,1189,133,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,382,0,1154,140,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,390,0,1175,142,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,403,0,1177,146,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,415,0,1191,149,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,423,0,1153,152,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,433,0,1172,155,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,441,0,1167,160,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
