Path,Sample.Name,Phenotype,Cell.ID,Total.Cells,Cell.X.Position,Cell.Y.Position,CD8,FoxP3,PD.L1,CD4,Treg,APC,Epithelial,Tcell,CellType,Group,Patient
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,28_1.im3,Epithelial,32,0,507,34,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,PDAC,28
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,28_1.im3,Epithelial,37,0,501,39,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,PDAC,28
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,28_1.im3,Other,78,0,672,75,neg,neg,neg,pos,neg,neg,neg,neg,Other,PDAC,28
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,28_1.im3,Epithelial,53,0,531,55,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,PDAC,28
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,28_1.im3,Epithelial,58,0,552,62,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,PDAC,28
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,28_1.im3,Epithelial,63,0,513,65,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,PDAC,28
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,28_1.im3,Epithelial,71,0,517,69,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,PDAC,28
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,28_1.im3,Epithelial,72,0,540,72,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,PDAC,28
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,28_1.im3,Epithelial,76,0,509,76,neg,neg,pos,pos,neg,neg,pos,neg,Tumor,PDAC,28
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,28_1.im3,Epithelial,84,0,519,80,neg,neg,pos,pos,neg,neg,pos,neg,Tumor,PDAC,28
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,28_1.im3,Epithelial,94,0,519,90,neg,neg,pos,pos,neg,neg,pos,neg,Tumor,PDAC,28
G:\Mantra.Opal\Experiments 2018\2018.04.12 Pancreas.Combined.Howard2.Howard1.Shi1-4\2019March Analysis\PDAC,28_1.im3,Epithelial,46,0,470,48,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,PDAC,28
